separation,tau,defect
58.0,4,3.7259885312487855e-16
58.0,6,5.12009062163807e-16
58.0,8,6.288199359056806e-16
58.0,10,6.651659730488165e-16
58.0,12,7.644332718239207e-16
58.0,14,9.004955915978772e-16
58.0,16,1.0863734641864607e-15
58.0,18,1.271025654159278e-15
58.0,20,1.5293573941653449e-15
58.0,22,1.983380407915082e-15
58.0,24,2.6609179795219738e-15
58.0,26,8.281683916003346e-06
58.0,28,0.0009692603578715266
58.0,30,0.03838212795537992
58.0,32,0.14516897302844767
58.0,34,0.3023510090880269
58.0,36,0.5960579863639589
58.0,38,0.9103809558859408
58.0,40,1.1799233151607549
58.0,42,1.3596726625638549
58.0,44,1.5117197957004476
58.0,46,1.5837300589806271
58.0,48,1.5353326971884045
58.0,50,1.3857791750911221
58.0,52,1.279596581276634
58.0,54,1.1537136621146786
58.0,56,0.9836353142710701
58.0,58,0.9477224748314358
58.0,60,0.9633420528053547
58.0,62,0.9478070525961272
58.0,64,0.9406698935947372
58.0,66,0.9353672667906722
58.0,68,0.9313712491488504
58.0,70,0.9281633667124657
58.0,72,0.9337554097628245
58.0,74,0.9302844824050991
58.0,76,0.9307965234360498
58.0,78,0.9312845258818504
58.0,80,0.9397471936030779
58.0,82,0.9413093223282178
58.0,84,0.9398255223619385
58.0,86,0.9442408952846412
58.0,88,0.9428963085784405
58.0,90,0.9356658403724419
58.0,92,0.9266745684879322
58.0,94,0.9313107515498446
58.0,96,0.9311895519064506
58.0,98,0.93817610049692
58.0,100,0.9345158177870408
58.0,102,0.9338404648577163
58.0,104,0.9318886144521664
58.0,106,0.9367140556140323
58.0,108,0.9387742345923304
58.0,110,0.9378248904187803
58.0,112,0.9390830488951489
58.0,114,0.9376380064418472
58.0,116,0.9334424513139921
58.0,118,0.9313904337660724
58.0,120,0.9324464023853123
61.0,0,0.0
61.0,2,2.7981944324877546e-16
61.0,4,4.240053390874136e-16
61.0,6,5.506216737554145e-16
61.0,8,7.247494511617616e-16
61.0,10,7.481601334906896e-16
61.0,12,9.775778906598194e-16
61.0,14,1.1139448264902265e-15
61.0,16,1.2974969338326393e-15
61.0,18,1.5264296151962362e-15
61.0,20,1.710192499525577e-15
61.0,22,2.1036792076872153e-15
61.0,24,2.6741362952227424e-15
61.0,26,3.150301720184858e-15
61.0,28,4.102249132470342e-06
61.0,30,0.0008024844172894257
61.0,32,0.024945478575678665
61.0,34,0.14368422188520918
61.0,36,0.29864873446490736
61.0,38,0.5859505444047897
61.0,40,0.8685400460334675
61.0,42,1.126601411884805
61.0,44,1.3503439069254994
61.0,46,1.4923836247607964
61.0,48,1.511818701236712
61.0,50,1.4276687823972787
61.0,52,1.315619713285604
61.0,54,1.3247401720879073
61.0,56,1.3864743742304966
61.0,58,1.3850538602973514
61.0,60,1.3409717207214702
61.0,62,1.276627952906031
61.0,64,1.3217191250927263
61.0,66,1.4788428564639693
61.0,68,1.6228809461808194
61.0,70,1.6606969363811295
61.0,72,1.6407754156497314
61.0,74,1.5565481821598022
61.0,76,1.4372223340193482
61.0,78,1.3768384279378831
61.0,80,1.4287323313977667
61.0,82,1.419508232949368
61.0,84,1.3268455441296954
61.0,86,1.2457247183514328
61.0,88,1.115790771595057
61.0,90,1.0253377671780228
61.0,92,0.9594024222816867
61.0,94,0.9391581819286254
61.0,96,0.9311895519064504
61.0,98,0.9381761004969202
61.0,100,0.9345158177870406
61.0,102,0.9338404648577158
61.0,104,0.931888614452166
61.0,106,0.9367140556140323
61.0,108,0.9387742345923312
61.0,110,0.93782489041878
61.0,112,0.9390830488951492
61.0,114,0.937638006441847
61.0,116,0.9334424513139923
61.0,118,0.9313904337660723
61.0,120,0.9324464023853126
64.0,0,0.0
64.0,2,2.648600518888624e-16
64.0,4,4.1333655872167753e-16
64.0,6,5.005347094781681e-16
64.0,8,6.459361821866236e-16
64.0,10,7.630126926791462e-16
64.0,12,9.153380450403853e-16
64.0,14,1.001584811999715e-15
64.0,16,1.1173721180447947e-15
64.0,18,1.2471760937205826e-15
64.0,20,1.3628320250683307e-15
64.0,22,1.3850401236293752e-15
64.0,24,1.49696703472209e-15
64.0,26,1.7350641839830744e-15
64.0,28,1.7595893857223337e-15
64.0,30,2.015876877690798e-15
64.0,32,1.3646079272456354e-05
64.0,34,0.0009411929090008793
64.0,36,0.031487901733173826
64.0,38,0.13631149474149243
64.0,40,0.24125442352441498
64.0,42,0.45785528242693213
64.0,44,0.7467219073708373
64.0,46,1.0123923760685596
64.0,48,1.2355719913696261
64.0,50,1.3920458054245213
64.0,52,1.451652137509047
64.0,54,1.3965006028268978
64.0,56,1.332733597040035
64.0,58,1.3464331332231978
64.0,60,1.3755238695805523
64.0,62,1.47600628625728
64.0,64,1.5545984712377126
64.0,66,1.596835477806501
64.0,68,1.667699139511887
64.0,70,1.6951627536193443
64.0,72,1.7500343890949064
64.0,74,1.8047981229617227
64.0,76,1.8517822645676187
64.0,78,1.847279749273874
64.0,80,1.8127774895608466
64.0,82,1.8279488743092733
64.0,84,1.8805622795394517
64.0,86,1.908551908244615
64.0,88,1.9040966838600426
64.0,90,1.8828869982965237
64.0,92,1.876434460364029
64.0,94,1.8907311453343707
64.0,96,1.8700780958240286
64.0,98,1.8564197333426609
64.0,100,1.856015002292983
64.0,102,1.8670907673890522
64.0,104,1.8637307542989041
64.0,106,1.8681855338067277
64.0,108,1.876719656886117
64.0,110,1.8871211649034623
64.0,112,1.892138839747547
64.0,114,1.880486495531742
64.0,116,1.840784505194192
64.0,118,1.8351225981154302
64.0,120,1.8519580118435517
67.0,0,0.0
67.0,2,2.058049599212298e-16
67.0,4,4.3468566887709117e-16
67.0,6,5.699871703489174e-16
67.0,8,7.373152244098494e-16
67.0,10,9.093207951669904e-16
67.0,12,1.0872858686778201e-15
67.0,14,1.2868137166869767e-15
67.0,16,1.5088051942618783e-15
67.0,18,1.6892880421919021e-15
67.0,20,2.0528177101669085e-15
67.0,22,2.5042969632935837e-15
67.0,24,3.0967643655051615e-15
67.0,26,3.607728204802285e-15
67.0,28,3.881640117705108e-15
67.0,30,4.637884847954677e-15
67.0,32,4.565513270182776e-15
67.0,34,2.826707257285933e-05
67.0,36,0.0016287516054206371
67.0,38,0.05051962098943032
67.0,40,0.13161952095878912
67.0,42,0.26780215495871806
67.0,44,0.5457513491078123
67.0,46,0.8429671258561844
67.0,48,1.090913022146524
67.0,50,1.303239053393386
67.0,52,1.4733968306196392
67.0,54,1.5360564659990705
67.0,56,1.470617858962027
67.0,58,1.3596713628924342
67.0,60,1.3845065186755576
67.0,62,1.3872067675670652
67.0,64,1.4194856867275276
67.0,66,1.381735382440691
67.0,68,1.309985902981559
67.0,70,1.3507284910464035
67.0,72,1.4489144337948003
67.0,74,1.5347284766368476
67.0,76,1.6122805332859635
67.0,78,1.6800775496682545
67.0,80,1.6848132592238008
67.0,82,1.6119575298610818
67.0,84,1.4977948255042837
67.0,86,1.3898690487000072
67.0,88,1.3166451394583858
67.0,90,1.153209146750998
67.0,92,1.0143968800701249
67.0,94,0.9677213655148907
67.0,96,0.9412882940883165
67.0,98,0.9391226589615022
67.0,100,0.9345158177870406
67.0,102,0.9338404648577172
67.0,104,0.9318886144521675
67.0,106,0.936714055614032
67.0,108,0.9387742345923283
67.0,110,0.93782489041878
67.0,112,0.9390830488951497
67.0,114,0.9376380064418478
67.0,116,0.9334424513139917
67.0,118,0.931390433766073
67.0,120,0.9324464023853111
70.0,0,0.0
70.0,2,2.1629761157186183e-16
70.0,4,3.7751890772385414e-16
70.0,6,4.569414088118935e-16
70.0,8,5.970128223714589e-16
70.0,10,7.126225560234418e-16
70.0,12,8.640239544693804e-16
70.0,14,1.0211120005283954e-15
70.0,16,1.1411639313637842e-15
70.0,18,1.252546575853267e-15
70.0,20,1.4494527046277585e-15
70.0,22,1.7060852356364677e-15
70.0,24,2.0059039501175223e-15
70.0,26,2.23309266846599e-15
70.0,28,2.2663030370090745e-15
70.0,30,2.6832949884081597e-15
70.0,32,2.8375635313475153e-15
70.0,34,3.154237186392842e-15
70.0,36,3.21974190979267e-15
70.0,38,2.4174824406804165e-05
70.0,40,0.0027626787455990176
70.0,42,0.06812111136319239
70.0,44,0.1862867599539903
70.0,46,0.43155830677677415
70.0,48,0.7301021776571301
70.0,50,0.9866542344773147
70.0,52,1.2266164566492914
70.0,54,1.4077844104976935
70.0,56,1.5426244936293154
70.0,58,1.5672952590513076
70.0,60,1.4789387571144592
70.0,62,1.3084537075281701
